epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1145.83,0.2986,0.3516,0.27245,0.78526,0,0.99151,0.98823,0.99472,0.97992,0.99147,0.98809,0.99472,0.91746,0.23257,0.3267,0.16923,0.7568,0,0.00191229,0.00191229,0.00191229
29,1186.41,0.30152,0.35305,0.27529,0.78592,0,0.99217,0.99067,0.99477,0.9759,0.99215,0.99071,0.99477,0.91305,0.25387,0.35683,0.17084,0.75995,0,0.00190578,0.00190578,0.00190578
30,1227.09,0.29941,0.34818,0.267,0.78523,0,0.99008,0.99005,0.99467,0.97716,0.99024,0.98984,0.99467,0.91211,0.24308,0.35064,0.16843,0.76027,0,0.00189905,0.00189905,0.00189905
31,1267.61,0.2985,0.3461,0.26743,0.78485,0,0.99069,0.99175,0.99469,0.98149,0.99069,0.99175,0.99469,0.91813,0.23228,0.35059,0.16097,0.75758,0,0.0018921,0.0018921,0.0018921
32,1308.33,0.29677,0.34739,0.26624,0.78526,0,0.99027,0.99143,0.99475,0.9768,0.99037,0.99134,0.99475,0.91558,0.24283,0.34095,0.16096,0.75877,0,0.00188493,0.00188493,0.00188493
33,1348.99,0.29587,0.34622,0.26268,0.78445,0,0.99051,0.98962,0.99446,0.97791,0.99048,0.98964,0.99446,0.91364,0.24552,0.34552,0.16427,0.7586,0,0.00187754,0.00187754,0.00187754
34,1389.68,0.29676,0.34977,0.26293,0.78416,0,0.99059,0.99175,0.99466,0.97712,0.99058,0.99166,0.99466,0.91337,0.24794,0.33673,0.1624,0.75941,0,0.00186995,0.00186995,0.00186995
35,1430.4,0.29326,0.34366,0.25998,0.78439,0,0.99109,0.99186,0.99482,0.98073,0.99113,0.99193,0.99482,0.91829,0.2291,0.33792,0.15543,0.75743,0,0.00186213,0.00186213,0.00186213
36,1471.11,0.29391,0.34305,0.25836,0.78454,0,0.99323,0.99242,0.99485,0.9801,0.99318,0.99237,0.99485,0.91467,0.23293,0.34508,0.15342,0.75767,0,0.00185411,0.00185411,0.00185411
37,1511.8,0.29327,0.34316,0.25806,0.78452,0,0.99242,0.99263,0.99481,0.98257,0.99242,0.99263,0.99481,0.91935,0.22401,0.33777,0.14927,0.75781,0,0.00184588,0.00184588,0.00184588
38,1552.51,0.29496,0.34516,0.25642,0.78485,0,0.99233,0.99183,0.99477,0.97646,0.99238,0.99188,0.99477,0.91223,0.25011,0.33404,0.15828,0.75938,0,0.00183745,0.00183745,0.00183745
39,1593.24,0.29128,0.33935,0.25584,0.78386,0,0.99369,0.99431,0.9949,0.97998,0.99364,0.99426,0.9949,0.91613,0.2335,0.34168,0.14855,0.75701,0,0.00182881,0.00182881,0.00182881
40,1633.93,0.29253,0.3426,0.25356,0.78458,0,0.99326,0.99363,0.99486,0.98144,0.99329,0.9936,0.99486,0.91647,0.23251,0.33867,0.14752,0.75721,0,0.00181997,0.00181997,0.00181997
41,1674.64,0.29006,0.34097,0.25221,0.78396,0,0.994,0.99323,0.99486,0.9822,0.99405,0.99328,0.99486,0.91917,0.22434,0.33707,0.14377,0.75708,0,0.00181093,0.00181093,0.00181093
42,1715.25,0.29086,0.33986,0.25129,0.78416,0,0.99328,0.99223,0.99486,0.98091,0.99333,0.99228,0.99486,0.91566,0.22902,0.34919,0.149,0.75784,0,0.00180169,0.00180169,0.00180169
