epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2208.06,0.24141,0.31374,0.23137,0.79751,0,0.99785,0.99632,0.995,0.99005,0.99784,0.99635,0.99499,0.96231,0.17466,0.25797,0.11272,0.76183,0,0.00191229,0.00191229,0.00191229
29,2286.71,0.24109,0.31459,0.22959,0.79797,0,0.99831,0.99683,0.99499,0.98978,0.99829,0.99687,0.99499,0.96219,0.17562,0.2605,0.11049,0.76169,0,0.00190578,0.00190578,0.00190578
30,2365.33,0.24043,0.31619,0.23045,0.79667,0,0.99863,0.99621,0.995,0.99047,0.99858,0.99616,0.995,0.96221,0.17247,0.2574,0.10933,0.76129,0,0.00189905,0.00189905,0.00189905
31,2443.79,0.23932,0.31471,0.22535,0.79671,0,0.99871,0.99644,0.99499,0.99068,0.99853,0.99653,0.99499,0.96362,0.17004,0.25288,0.10955,0.76085,0,0.0018921,0.0018921,0.0018921
32,2522.67,0.23863,0.31126,0.2249,0.79723,0,0.99869,0.99599,0.99499,0.99061,0.99869,0.99599,0.99499,0.96293,0.17199,0.25427,0.10851,0.76077,0,0.00188493,0.00188493,0.00188493
33,2601.32,0.23963,0.31644,0.22636,0.79756,0,0.99841,0.99604,0.99498,0.99082,0.99841,0.99604,0.99498,0.96303,0.1711,0.25373,0.10845,0.76078,0,0.00187754,0.00187754,0.00187754
34,2680.01,0.23617,0.31048,0.22124,0.79595,0,0.99839,0.9964,0.99499,0.99069,0.99822,0.99639,0.99499,0.96229,0.17267,0.25595,0.10722,0.76082,0,0.00186995,0.00186995,0.00186995
35,2758.72,0.23629,0.30959,0.22105,0.7959,0,0.99867,0.99669,0.995,0.99072,0.99861,0.99663,0.99499,0.96314,0.17031,0.2532,0.10535,0.76051,0,0.00186213,0.00186213,0.00186213
36,2837.78,0.23627,0.31001,0.21892,0.79609,0,0.99773,0.99717,0.99499,0.99089,0.99768,0.99719,0.99499,0.96279,0.16888,0.25349,0.10449,0.76061,0,0.00185411,0.00185411,0.00185411
37,2916.53,0.23559,0.31003,0.221,0.79651,0,0.99883,0.99653,0.99499,0.99088,0.99883,0.99653,0.99499,0.96263,0.16844,0.25219,0.10406,0.76018,0,0.00184588,0.00184588,0.00184588
38,2995.36,0.23481,0.31039,0.2184,0.79608,0,0.9984,0.99675,0.99499,0.99109,0.99844,0.99679,0.99499,0.96304,0.16892,0.25267,0.10394,0.76017,0,0.00183745,0.00183745,0.00183745
39,3074.35,0.23333,0.30665,0.21953,0.79542,0,0.99848,0.99689,0.99498,0.99109,0.99846,0.99688,0.99498,0.96314,0.16777,0.25143,0.10327,0.76017,0,0.00182881,0.00182881,0.00182881
40,3152.58,0.23347,0.30791,0.21724,0.79655,0,0.99863,0.99695,0.99499,0.99119,0.99857,0.9969,0.99499,0.96388,0.16726,0.25179,0.10269,0.75998,0,0.00181997,0.00181997,0.00181997
41,3231.48,0.23293,0.30392,0.21403,0.7948,0,0.99864,0.99672,0.99499,0.99133,0.99851,0.99669,0.99499,0.96341,0.16567,0.25072,0.10167,0.75985,0,0.00181093,0.00181093,0.00181093
