epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,97034.2,0.46034,0.70239,0.36234,0.84397,0,0.98329,0.9807,0.98556,0.83817,0.97284,0.97337,0.9812,0.80206,0.63304,1.08295,0.33626,0.89912,0,0.000332296,0.000332296,0.000332296
29,97038.1,0.46961,0.71245,0.36765,0.84506,0,0.98175,0.97549,0.98898,0.82385,0.9785,0.96141,0.97927,0.81041,0.67583,1.04403,0.34732,0.90076,0,0.000318158,0.000318158,0.000318158
30,97041.7,0.44693,0.69218,0.36066,0.83996,0,0.98787,0.98399,0.98183,0.8246,0.97813,0.97406,0.977,0.79733,0.68723,1.12051,0.34095,0.91078,0,0.000304021,0.000304021,0.000304021
31,97046.8,0.43848,0.6751,0.35047,0.83086,0,0.97304,0.97811,0.98161,0.82239,0.96358,0.96822,0.97623,0.80658,0.67051,1.00937,0.34529,0.90234,0,0.000289884,0.000289884,0.000289884
32,97063.1,0.427,0.68046,0.34305,0.83143,0,0.96661,0.97505,0.98135,0.82952,0.96106,0.96933,0.98075,0.79374,0.6589,1.06638,0.35398,0.89981,0,0.000275747,0.000275747,0.000275747
33,98272.5,0.42162,0.66896,0.34005,0.82868,0,0.68495,0.02748,0.0265,0.0235,0.68495,0.02748,0.0265,0.02145,0.63342,1.08671,0.3389,0.89988,0,0.00026161,0.00026161,0.00026161
34,101118,0.42419,0.67147,0.33873,0.82379,0,0.97744,0.95739,0.97896,0.82684,0.9678,0.94751,0.97372,0.7947,0.62654,1.08143,0.35123,0.89354,0,0.000247472,0.000247472,0.000247472
35,101150,0.40892,0.61088,0.32171,0.82847,0,0.98122,0.97515,0.99063,0.83559,0.97139,0.96536,0.98077,0.79121,0.62887,1.0698,0.32465,0.90012,0,0.000233335,0.000233335,0.000233335
36,101155,0.40756,0.63416,0.32083,0.82667,0,0.97283,0.96021,0.9844,0.83503,0.96323,0.95032,0.97848,0.80117,0.63026,1.05976,0.33732,0.89868,0,0.000219198,0.000219198,0.000219198
37,101169,0.40034,0.6376,0.31964,0.81794,0,0.98756,0.97193,0.98616,0.83707,0.9778,0.96212,0.98057,0.8032,0.64148,1.01524,0.33232,0.9102,0,0.000205061,0.000205061,0.000205061
